Distance(Km),Visakhapatnam,Guntur,Kadapa,Kurnool,Guwhati,Goalpara,Goalpara,Tezpur,Silchar,Aurangabad,Bhagalpur,ChamparanEast,Darbangha,Mazaffanagar,Patna,Purnia,Saran,Raipur,Bastar,Sarguja,Kurukshetra,Gurgaon,Hisar,Rohtak,Shimla,Mandi,Dharamshala,Deoghar,Ranchi,Banglore,Chitradurga,Gulbarga,Manglore,Mysore,Belgaum,Bagalkote,Thiruvanantapuram,Eranakulam,Calicut(Khozikode),Bhopal,Gwalior,Indore,Jabalpur,Sagar,Ujjain,Ratlam,Rewa,Thane,Nashik,Pune,Kolhapur,Aurangabad,Latur,Akola,Nagpur,Bhubaneswar,Balasore,Bolangir,Ganjam,Kandhamal,Koraput,Sundargarh,Samablpur,Amritsar,Ferozepur,Hoshiarpur,Jaipur,Ajmer,Kota,Bharatpur,Bikaner,Jodhpur,Udaipur,Chennai,Vellore,Cuddalore,Trichy,Madurai,Sivaganga,Tirunelveli,Coimbatore,Salem,Nizamabad,Warangal,Hyderabad,Agartala,Lucknow,Devipatan,Faizabad,Agra,Aligarh,Bundelkhand,Allahabad,Azamgarh,Vindhyachal,Varanasi,Kanpur,Chitrakoot,Bareilly,Moradabad,Meerut,Saharanpur,Basti,Gorakhpur,Almora,Srinagar,USNagar,Dehradun
PortBlair,1485.230306,1422.373799,1684.888276,1654.632995,1616.685062,1627.347051,1627.347051,1664.218212,1463.400643,1701.508602,1627.430918,1849.644652,1764.019108,2360.602712,1746.641906,1663.81005,2041.281611,1591.402933,1421.851087,2041.281611,2612.980042,1422.373799,2625.287143,2545.254887,2689.992585,2182.273125,1504.918565,1561.739902,1517.208581,2377.94678,1416.166109,1824.199532,1949.937104,1753.621467,2023.632911,1701.508602,2208.718695,1806.078144,1849.644652,2072.954021,2225.729336,2171.316607,1864.645012,2005.479134,2205.921992,2278.349639,1441.972508,1664.218212,1598.691535,2165.27367,2071.981858,1701.508602,1889.095609,1957.478278,1796.575826,1208.715703,2018.906378,1614.592338,1189.861259,2262.278706,1795.222475,1485.674888,1588.827788,2877.821574,2457.481694,2625.287143,2452.57317,2509.087183,2327.943213,2350.569596,2719.185697,2628.811104,2468.221684,1366.773085,1485.230306,1413.801132,1534.803417,1609.628541,2703.115202,1680.540419,1722.196373,1588.827788,1753.337142,1306.820157,1663.803487,1362.064148,2091.612017,2057.457496,2012.711817,2312.613044,2363.36484,2420.366243,1913.145958,1701.508602,1485.230306,1831.126378,2095.695568,1416.166109,2314.989785,2397.315987,2477.611842,2570.25083,1981.69264,1941.043895,1913.145958,3085.970285,1628.472055,2570.310873
Hyderabad,503.2922095,244.7115376,1925.658992,178.6378495,1684.323149,1589.564247,1589.564247,1798.780333,1700.678384,1023.455946,1240.998743,740.6542,1240.452621,1128.097184,1144.133005,1318.224246,417.2154233,542.4748583,416.0261412,417.2154233,1408.571538,244.7115376,1338.037626,1293.985746,1531.178951,545.1226925,1095.100247,1163.620949,976.5841027,1271.286985,266.2769584,171.8864941,634.7125242,598.8845363,453.3669331,1023.455946,1043.934653,855.4067264,740.6542,661.9485928,984.0295048,652.1411607,662.0756824,718.326287,702.658675,750.8864192,859.4817415,1798.780333,211.9684996,503.1858989,455.6090568,1023.455946,228.0137415,400.2765611,423.5042382,840.0911802,976.5186264,649.9480077,730.679705,598.4920649,966.9248332,786.2092231,638.2735555,1623.808201,1231.710182,1338.037626,1094.5396,1082.270172,908.4648853,1097.648743,1294.203478,1136.439709,940.4772762,515.2718723,503.2922095,642.4901448,733.6631247,831.0661507,1395.346703,966.4414633,727.2022699,638.2735555,148.2092033,814.295183,0,1514.013729,1081.541157,1140.92464,1110.838576,1091.122899,1167.912353,1226.872358,962.2817532,1023.455946,503.2922095,999.8425235,1026.41243,266.2769584,1223.00725,1274.13489,1291.670199,1402.308648,1138.268903,1156.659133,962.2817532,1892.365659,954.5210247,1439.532744
Naharlagun,2188.782647,1818.384013,63.46224798,2045.795473,218.5274253,322.9949883,322.9949883,103.6046667,269.1653748,968.248714,702.405899,2572.443881,783.0494954,1582.968825,872.317289,637.1098849,2273.614786,1386.304702,1493.339356,2273.614786,1671.916584,1818.384013,1775.500363,1689.942241,1664.551185,2079.144769,815.7260068,759.2430401,938.7982143,1451.043139,1863.254933,2044.260592,2521.636919,2424.100539,2341.476354,968.248714,1455.330551,2637.182329,2572.443881,1693.371,1544.755928,1862.224639,1451.758146,1544.097729,1854.180545,1921.341341,1044.374614,103.6046667,2035.412665,2243.701085,2313.480937,968.248714,2001.235672,1838.509658,1622.56,1103.513953,1290.814212,1293.246773,1231.017949,2272.636425,2710.105735,1122.580673,2363.730621,1889.081308,1617.492824,1775.500363,1772.94735,1891.626652,1793.938625,1602.180561,2009.497931,2055.581612,2019.708044,2095.102468,2188.782647,2243.703904,2398.860671,2514.669806,1845.186492,2648.565519,2503.719208,2363.730621,1850.257291,1098.754522,1902.367996,437.4382567,1265.821646,1164.295083,1145.386187,1551.89194,1542.413482,1564.233847,1195.929903,968.248714,2188.782647,1084.744249,1328.275957,1863.254933,1411.075913,1476.915855,1581.921245,1608.151127,1083.955688,1023.502674,1195.929903,1963.60904,2610.491387,1567.429952
Guwahati,1978.951912,1604.216355,251.350477,1828.948194,0,113.5455964,113.5455964,115.1221118,182.4359033,758.3628904,491.0196919,2359.049754,585.8934188,1405.02263,669.2232862,431.0278439,2055.199864,1167.999878,1276.305711,2055.199864,1518.71319,1604.216355,1612.581494,1525.177292,1524.617654,1865.537736,597.5298091,542.9002205,720.7357451,1287.80632,1649.871482,1825.752681,2305.040894,2210.444475,2122.956998,758.3628904,1270.06242,2426.767709,2359.049754,1485.517548,1355.188667,1653.96425,1240.179472,1337.386796,1647.999334,1716.693561,825.9438868,115.1221118,1819.545382,2026.898568,2095.082054,758.3628904,1782.948765,1622.833067,1405.867981,892.9970598,1096.230199,1075.632901,1020.909231,2057.496981,2502.279873,904.0591392,2154.186945,1749.539334,1448.37248,1612.581494,1590.148782,1705.829959,1598.583795,1421.548934,1835.82131,1869.421867,1822.813469,1887.870922,1978.951912,2038.264965,2192.523696,2308.608299,1685.306185,2443.793635,2292.825743,2154.186945,1631.748861,883.4594257,1684.323149,264.7176331,1080.806541,982.6660607,959.2977332,1370.940209,1368.272727,1395.389333,996.0600273,758.3628904,1978.951912,882.0775735,1139.400978,1649.871482,1242.872426,1313.750486,1419.096739,1456.062343,898.251338,836.622738,996.0600273,1849.209483,2406.86467,1420.467531
Patna,1544.972506,1142.261747,916.8529707,1312.296339,669.2232862,555.9268153,555.9268153,776.7926487,779.0941583,120.688027,192.3398605,1874.043271,99.23644688,767.9659526,0,238.4133017,1461.571796,602.0890567,792.662961,1461.571796,942.2413199,1142.261747,1005.624202,916.6586597,987.0178695,1218.771801,242.9789185,203.884615,253.289227,696.2204361,1195.186161,1255.659371,1778.479861,1726.742672,1544.26537,120.688027,620.3636691,1970.544445,1874.043271,822.1605749,696.0834448,991.1431747,589.199493,672.2609284,981.9588486,1049.09335,377.7631504,776.7926487,1320.436575,1401.702889,1499.999122,120.688027,1188.689001,991.4369593,789.476755,598.8304129,432.6250015,494.194582,692.5734048,1418.217582,2067.055641,403.4359961,1715.363058,1200.025543,831.5287246,1005.624202,939.5743243,1049.15254,931.3859781,778.1216353,1199.157781,1211.133784,1154.392777,1482.972847,1544.972506,1640.792946,1780.580033,1894.444509,1083.615068,2035.244825,1836.066369,1715.363058,1055.815095,518.935967,1144.133005,654.5461298,438.362052,357.9703043,321.7145571,728.0325838,741.6432212,781.4906236,327.421902,120.688027,1544.972506,212.9252336,485.4155747,1195.186161,639.3661617,720.5632231,820.623085,886.5638097,268.6193607,212.0903053,327.421902,1367.015202,2008.412518,869.0374912
Chandigarh,1997.253442,1647.930222,1752.363258,1662.475101,1547.66095,1443.816628,1443.816628,1625.434455,1704.315685,999.4950471,1170.762831,2169.490064,1024.989865,369.57573,993.4968248,1182.135906,1559.631214,1161.960008,1393.501608,1559.631214,85.69950349,1647.930222,203.7109494,205.698386,54.56094985,1153.071016,1225.837628,1197.362637,1178.976234,305.570872,1697.322528,1490.07593,1997.16215,2050.892628,1670.046964,999.4950471,492.6937315,2308.370428,2169.490064,834.13529,519.0438765,896.3830068,896.6975761,790.7386708,845.9073476,841.4698536,1240.745399,1625.434455,1705.400008,1391.016461,1582.632335,999.4950471,1371.943864,1115.115198,1090.829878,1474.356982,665.8080457,1100.529859,1510.455647,1329.607596,2430.279211,1198.779181,2126.852153,206.9476254,263.4724184,203.7109494,436.1208463,520.5277332,624.542944,397.4646322,452.3402971,619.1069526,749.4047759,1994.59389,1997.253442,2133.700425,2226.673829,2319.05994,215.5693297,2449.288318,2194.030316,2126.852153,1347.84487,1376.448605,1494.255344,1622.53957,591.6025793,641.0659974,683.1649739,411.8935269,341.0487389,279.2033086,769.23137,999.4950471,1997.253442,857.2411762,588.8545018,1697.322528,368.0594276,285.1771625,214.417004,112.1319545,727.3087613,781.4178031,769.23137,416.3307401,2442.748529,127.7818588
Raipur,963.1589598,562.3783047,1415.876574,710.5091978,1167.999878,1066.641802,1066.641802,1283.118092,1209.843811,481.4144968,704.4393637,1273.561569,698.0150424,804.2453782,602.0890567,780.7395758,887.5160951,0,238.7728179,887.5160951,1081.780531,562.3783047,1062.236726,991.5503051,1184.313717,742.9940799,570.6102848,632.1161874,447.8618954,881.3954839,616.4614924,664.0918479,1177.161767,1127.117409,959.245655,481.4144968,669.384738,1374.869092,1273.561569,489.9444885,657.710988,617.8587274,277.7109916,415.1448592,640.6391551,717.2186091,351.4570916,1283.118092,721.0545331,868.1424614,927.3058786,481.4144968,614.9493106,484.7604793,264.0448022,449.6395991,525.31728,108.5234717,411.3916493,913.6048868,1476.138576,267.2455389,1127.898652,1336.060184,909.232236,1062.236726,866.353757,917.6973955,737.0322782,786.4238751,1128.945841,1040.891245,894.3491211,917.9376452,963.1589598,1073.507711,1202.493253,1313.143927,1136.182264,1453.778242,1241.414554,1127.898652,466.2356282,374.4604573,542.4748583,1031.821642,627.5119245,656.3725152,618.1797565,757.4165528,822.0586078,883.5285455,468.7871712,481.4144968,963.1589598,475.2966008,594.9529051,616.4614924,821.8401549,893.2137983,947.5922294,1053.948891,631.0501837,637.0076223,468.7871712,1578.28643,1431.414533,1072.989104
Silvasa,1047.581595,902.0467447,2274.545162,725.8690977,2023.201383,1913.518893,1913.518893,2136.156926,2092.183105,1268.623286,1533.648639,1046.629796,1468.843709,932.9728095,1372.420967,1600.466194,414.2287427,903.1086855,945.4355204,414.2287427,1145.964457,902.0467447,1024.531842,1024.362183,1273.878727,160.5319204,1438.545373,1482.236911,1317.517075,1127.24821,920.6021139,518.9708546,846.7975608,968.3909876,515.678224,1268.623286,945.5999675,1197.759295,1046.629796,561.8909952,846.4790125,400.9463912,784.7997218,711.0329333,431.6013148,399.2914053,1247.381734,2136.156926,787.4864275,214.9332417,418.4551447,1268.623286,429.3452727,418.4592198,639.7894205,1337.5556,1011.712702,969.3366465,1263.495045,115.4905227,1323.952823,1161.437721,1105.514059,1275.400867,1004.086837,1024.531842,790.5363157,706.6991372,618.0679322,896.3926095,861.4690333,666.4023302,483.7257627,1110.472313,1047.581595,1191.539541,1218.116746,1275.44493,1049.544068,1379.110065,1114.285885,1105.514059,562.7921639,1273.995292,657.3575244,1922.700191,1087.40014,1185.092011,1178.278669,921.4033104,989.6040947,1028.474089,1071.894603,1268.623286,1047.581595,1167.660093,1014.625358,920.6021139,1107.649577,1116.307467,1077.843713,1170.23901,1231.073894,1277.685808,1071.894603,1545.825247,1390.006665,1225.898773
Daman,1071.115974,925.4254627,2285.554801,749.761589,2034.242162,1924.244383,1924.244383,2146.960759,2104.946576,1278.712509,1544.26261,1066.796608,1477.512001,928.8346172,1381.469981,1610.524151,435.8370011,919.0882888,965.3570883,435.8370011,1137.522548,925.4254627,1014.529334,1016.29949,1265.078542,176.150831,1451.145139,1493.879991,1330.483132,1123.851157,944.2201461,542.8620193,866.2353771,990.0085052,536.1998023,1278.712509,945.4322876,1218.081452,1066.796608,567.6490302,845.6687311,404.3644865,794.8887151,717.4993392,432.5466628,396.2645769,1262.093268,2146.960759,811.3830192,236.7704969,439.0110775,1278.712509,452.7660573,434.924137,655.383094,1355.265252,1016.170828,983.611487,1282.440284,133.9702267,1344.21803,1176.155811,1128.133547,1262.790197,997.9895063,1014.529334,782.7376364,696.1702942,613.2029375,892.3096153,846.860383,651.1868565,471.4586203,1134.300313,1071.115974,1214.980827,1240.767748,1297.402215,1037.969508,1400.328505,1135.679513,1128.133547,584.9131867,1290.761707,680.761976,1936.320466,1090.166189,1188.636063,1182.7167,918.4633047,985.7291188,1023.46107,1078.570766,1278.712509,1071.115974,1175.708088,1017.283716,944.2201461,1105.538672,1112.413882,1071.852664,1162.962124,1236.115251,1283.479289,1078.570766,1532.54717,1411.615747,1219.113933
Delhi,1761.969053,1412.708602,1682.573845,1428.250726,1459.544834,1349.958411,1349.958411,1548.730657,1601.816593,831.2776413,1036.697074,1941.107161,898.6292786,134.8274363,848.5290162,1061.622635,1339.525097,936.4767031,1164.514785,1339.525097,150.4484708,1412.708602,157.0990382,68.16251576,272.7661991,939.5791702,1064.840367,1048.498427,1001.663749,177.183737,1461.912321,1258.946603,1772.720939,1820.109624,1449.292094,831.2776413,274.1594932,2078.326143,1941.107161,600.3966793,284.9201489,674.0317033,666.3546203,555.8662376,625.3380118,630.9260206,1047.34477,1548.730657,1470.516259,1178.657181,1364.459168,831.2776413,1141.925933,883.46855,855.3527133,1274.298723,466.7083032,882.2075468,1299.973413,1125.641819,2199.464057,997.0084027,1892.853297,400.500884,27.93996512,157.0990382,239.883071,353.7755947,409.7351784,161.8028042,389.7346945,493.9774796,573.4821449,1758.91976,1761.969053,1898.131805,1992.01825,2085.262399,235.4438161,2216.265787,1962.384366,1892.853297,1113.098751,1176.222305,1259.15779,1498.577553,415.4246888,491.7477851,526.8888592,179.6181718,118.9864304,67.10855241,579.3477983,831.2776413,1761.969053,681.6274203,391.6073133,1461.912321,216.7136269,152.0796068,58.91413199,149.4490963,581.4333675,641.7284957,579.3477983,646.5434381,2208.9844,201.5265335
Goa,602.5391154,686.6593142,2437.13376,423.1536942,2193.055394,2095.018046,2095.018046,2307.966451,2215.92836,1499.176695,1735.386031,484.8249434,1716.844245,1405.615719,1618.074084,1811.309988,179.5993623,1031.147362,933.0040263,179.5993623,1655.360883,686.6593142,1549.263156,1532.756333,1784.476855,587.5346494,1598.516463,1662.831239,1477.189307,1584.314459,669.6762293,367.5943985,281.5082698,430.6724191,74.96218146,1499.176695,1371.106447,636.6528398,484.8249434,949.0502987,1285.970022,844.768139,1066.90722,1065.225579,893.5251805,898.1565666,1367.203504,2307.966451,467.7996189,358.5678652,155.6876428,1499.176695,432.8605448,673.9472489,834.9851915,1356.926302,1366.617803,1132.653495,1245.364922,450.9750649,762.1175122,1289.664867,595.6669979,1816.634736,1494.429622,1549.263156,1302.844799,1241.281943,1113.383034,1369.982761,1416.664643,1225.210172,1032.902549,704.5875739,602.5391154,726.4847281,705.2827077,738.8975544,1585.636424,827.1255448,567.975567,595.6669979,565.2098861,1330.552607,517.1114201,2029.977894,1463.478333,1543.310565,1522.277889,1381.447124,1457.142275,1506.933057,1384.780981,1499.176695,602.5391154,1447.608472,1396.919432,669.6762293,1549.859111,1579.524954,1565.020447,1668.129464,1561.700011,1592.333365,1384.780981,2090.070335,844.4477088,1717.693469
Ahemdabad,1321.386179,1113.317398,2218.187694,983.6602539,1969.796067,1856.844937,1856.844937,2078.130021,2063.709529,1214.891678,1481.252818,1352.743875,1390.364193,714.9238558,1301.338024,1538.878707,716.651835,954.1959843,1066.065736,716.651835,883.1775515,1113.317398,750.8070302,766.4355486,1006.977263,338.5896929,1417.568273,1445.930196,1305.071868,911.7325302,1142.439426,773.2155415,1154.599873,1268.256455,821.6001307,1214.891678,771.1278611,1503.291899,1352.743875,494.6723591,669.0705932,338.4793483,753.3550332,635.5915502,328.2748778,254.6807079,1264.443592,2078.130021,1043.157661,518.708197,724.6009228,1214.891678,662.0514337,524.1811659,703.0582013,1403.81125,890.9961423,989.5835622,1354.904987,424.234948,1629.582316,1181.243855,1396.058694,982.8772793,764.4546072,750.8070302,540.5835591,434.7385097,409.4732102,680.185793,560.414168,363.5880273,207.2096108,1370.243674,1321.386179,1467.058976,1507.86124,1572.12753,764.4038299,1680.637655,1415.201318,1396.058694,750.796126,1324.920746,877.3575659,1909.489084,942.6827036,1046.903913,1051.437845,716.5739013,772.5716293,798.8466785,977.6751436,1214.891678,1321.386179,1088.519716,871.230678,1142.439426,906.1454309,895.9491553,837.7101725,916.9959977,1110.36079,1165.368618,977.6751436,1249.263194,1689.109556,976.2590909
Vadora,1218.495659,1011.455406,2178.074813,880.1829638,1928.15572,1815.942682,1815.942682,2038.245542,2014.54007,1170.209555,1437.607414,1258.886903,1354.903318,733.024494,1262.897562,1498.459502,621.7452368,877.9597889,976.1933607,621.7452368,928.0519981,1011.455406,802.656464,807.7950128,1054.82593,235.1305708,1363.924391,1397.063814,1248.317795,929.9780403,1039.862004,669.8134002,1063.179411,1170.59265,728.6496909,1170.209555,768.4635661,1408.738992,1258.886903,442.9695654,666.4604994,276.2109114,696.7209129,590.9775529,281.080565,220.0094093,1199.207986,2038.245542,939.6072462,426.2726228,632.2738237,1170.209555,558.4567486,430.075536,620.7525502,1326.982171,867.1481315,921.3987684,1272.26041,339.8621369,1535.008487,1114.741693,1295.407235,1049.69408,794.8119809,802.656464,575.4761248,483.9433007,417.6894199,696.9771112,635.925726,441.8079485,258.2669148,1266.689077,1218.495659,1364.225172,1406.945044,1472.955812,824.8580432,1583.330613,1317.831337,1295.407235,649.6879665,1251.364304,774.4524757,1855.379817,928.9055392,1031.336706,1031.432635,727.8553761,790.6303426,823.8226856,944.8433231,1170.209555,1218.495659,1051.367784,856.2193,1039.862004,917.3835069,916.5926455,868.7682568,956.0596816,1088.435014,1140.65763,944.8433231,1319.833684,1590.719266,1013.38839
Bhavnagar,1233.137206,1063.816511,2299.536833,905.6055525,2049.336704,1937.342443,1937.342443,2159.799443,2133.41529,1291.088396,1558.531585,1232.521377,1477.516356,846.5109434,1385.074514,1620.112057,602.7211503,982.524204,1063.12857,602.7211503,1026.27632,1063.816511,895.2541233,908.3910837,1150.874335,279.2177314,1481.579511,1516.470807,1364.770378,1043.782437,1087.09086,695.9985845,1030.873859,1156.893369,702.534643,1291.088396,889.0591505,1383.988106,1232.521377,563.828187,786.846748,395.5663738,814.633985,712.858208,403.8946911,343.3087245,1311.118156,2159.799443,966.7403539,403.591786,605.4316883,1291.088396,595.7671042,515.9403706,721.0808513,1429.332189,990.6014302,1032.182737,1368.353056,299.4516324,1510.02634,1226.036938,1294.168954,1127.79489,902.2941781,895.2541233,679.7023378,578.0503708,533.7625451,810.9371854,704.017495,507.1542251,349.2728955,1292.064516,1233.137206,1377.688307,1406.732372,1464.215177,909.6903168,1567.08977,1302.523464,1294.168954,709.8273755,1356.937471,821.0693622,1972.379569,1051.682136,1154.362507,1154.785756,844.0984524,904.2666365,934.2524382,1067.961807,1291.088396,1233.137206,1173.897838,979.0903349,1087.09086,1034.001707,1029.292635,975.9854748,1058.42216,1211.871234,1264.123435,1067.961807,1393.36172,1578.499517,1117.091423
Rajkot,1367.086967,1212.862392,2415.953159,1046.391857,2167.051895,2054.29552,2054.29552,2275.929486,2258.014434,1410.754426,1677.659318,1337.446955,1589.002223,903.6596252,1499.251955,1736.361781,722.1785777,1125.372428,1213.242378,722.1785777,1047.322977,1212.862392,908.6266203,936.0722137,1166.046083,430.184635,1609.255756,1640.152534,1494.765728,1098.884725,1234.842413,838.5126549,1132.384954,1272.791676,814.4062489,1410.754426,968.3378802,1489.26901,1337.446955,686.0125616,866.6200003,522.4807422,942.6092972,830.6530942,520.5256715,450.3583926,1447.520663,2275.929486,1107.933114,527.1977712,718.9940679,1410.754426,742.697361,665.5385851,866.1828211,1573.785096,1090.717574,1169.841517,1515.905143,417.3081938,1614.372672,1363.138707,1418.151028,1113.327037,944.2039839,908.6266203,720.3061086,604.6588369,605.8169178,869.9784466,685.3629341,495.7901004,389.9648639,1431.227245,1367.086967,1510.417244,1530.866507,1582.030549,909.8066744,1678.580056,1416.172609,1418.151028,860.7115854,1499.205965,969.3241686,2101.082099,1141.849541,1246.215272,1251.113404,908.8714983,960.836795,982.3379258,1176.569292,1410.754426,1367.086967,1286.617735,1070.608402,1234.842413,1097.337697,1081.649738,1016.065624,1087.038787,1310.093056,1365.101934,1176.569292,1368.755886,1693.147095,1147.652409
Surat,1139.399347,969.9199243,2254.496171,810.6367457,2003.540091,1892.457279,1892.457279,2115.238094,2081.05256,1245.649022,1512.60282,1149.992676,1438.847351,855.6341602,1344.35226,1576.659896,515.9341249,912.4159885,980.0893104,515.9341249,1056.42517,969.9199243,931.4175486,935.8663962,1183.39633,188.4005534,1427.539063,1466.313003,1308.68466,1051.868066,992.5610689,600.8977388,950.6383475,1069.622739,618.8460658,1245.649022,881.3767599,1300.960027,1149.992676,523.3537248,780.3122192,355.1966714,763.8719573,674.1233705,375.2210623,328.6990634,1248.108275,2115.238094,871.7131608,316.7777997,521.6525892,1245.649022,500.9009824,436.1549756,648.8745502,1355.804232,964.8384753,968.6890941,1290.102419,219.3993849,1427.197082,1162.466702,1203.511093,1177.032043,920.8628685,931.4175486,703.0235882,612.6991108,539.4687364,819.3030366,760.1171498,564.319454,386.4184562,1197.24043,1139.399347,1284.201045,1315.915047,1375.70838,953.133303,1481.046816,1215.944206,1203.511093,618.1077121,1286.548984,726.7147718,1916.236552,1033.61808,1134.090965,1130.84631,847.8643381,912.9663799,948.3341979,1034.086772,1245.649022,1139.399347,1135.573498,960.6345648,992.5610689,1036.425669,1039.404723,994.8241577,1083.637562,1185.964806,1235.580214,1034.086772,1446.327676,1491.136155,1140.555972
Panchkula,1991.514346,1641.603962,1745.334849,1657.014841,1540.321197,1436.382787,1436.382787,1618.275852,1696.804609,991.510638,1162.889694,2164.84893,1017.151638,363.2961055,985.5493895,1174.368241,1555.679929,1154.768782,1386.477765,1555.679929,80.31744521,1641.603962,202.74758,201.4405594,54.76560469,1149.508386,1217.855696,1189.413155,1171.005018,297.6224393,1691.061705,1485.086976,1992.89257,2045.97284,1666.057867,991.510638,485.4520786,2303.548421,2164.84893,828.7190458,512.6020243,892.1235071,889.8137818,784.3640291,841.7583513,837.9625775,1232.862388,1618.275852,1699.785512,1387.58345,1578.828757,991.510638,1367.077933,1110.030526,1084.611636,1466.529123,658.075581,1093.084768,1502.786603,1326.675635,2425.366391,1190.990914,2121.446688,214.8252455,257.4230258,202.74758,432.7531974,518.6162143,620.6171204,391.5026367,453.8443814,619.018332,747.5375517,1988.520466,1991.514346,2127.821587,2221.12522,2313.696379,217.582781,2444.062552,2189.002926,2121.446688,1342.258835,1368.628114,1488.575341,1614.787182,583.6851889,633.0810479,675.1785354,405.3324375,334.1320346,272.2750675,761.369501,991.510638,1991.514346,849.2801483,581.1289337,1691.061705,360.1332532,277.2839089,207.320369,104.2996945,719.3349088,773.4685012,761.369501,423.5591828,2437.393005,120.2063765
Shimla,2033.635643,1679.660768,1724.866655,1700.849826,1524.617654,1422.388889,1422.388889,1599.694538,1684.129427,999.6305283,1160.29732,2212.536107,1013.406003,403.3901507,987.0178695,1168.147087,1605.909054,1184.313717,1417.935651,1605.909054,129.1802406,1679.660768,257.5130223,251.9403531,0,1200.904483,1222.599005,1190.766825,1180.996949,313.014305,1729.619173,1531.359123,2042.016165,2092.467595,1716.155281,999.6305283,515.6344097,2350.453219,2212.536107,873.1588495,550.8494108,941.5052645,923.2458482,822.5983918,891.5316659,889.5739639,1248.068104,1599.694538,1742.724714,1439.272799,1629.499324,999.6305283,1413.935363,1155.97131,1123.769453,1483.560218,678.95288,1118.956668,1524.048016,1379.469651,2471.853021,1209.459651,2165.500709,225.0409407,299.8042364,257.5130223,484.9151074,572.9269206,671.2048766,433.6057953,506.4691862,673.5617874,801.857882,2028.403607,2033.635643,2169.020241,2264.357467,2357.95379,269.3500831,2489.031977,2234.979998,2165.500709,1385.469002,1385.965855,1531.178951,1607.785827,598.6072205,639.710018,682.9991481,443.0157105,368.9827771,307.6012655,778.0962501,999.6305283,2033.635643,860.70726,602.4368529,1729.619173,376.0539696,295.8207342,241.8681855,131.4717526,723.6966998,775.4810574,778.0962501,398.4857129,2481.679929,119.985273
